id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,263.51,2228193096,52,5533829029,203128263,270.0,224.32,38.68,17.20636,319363025.0,16.73083,8455638.0,21000000.0,21000000.0,757.6,-65.19673,2024-03-07T18:45:36.466Z,30.83,755.24348,2023-05-14T08:57:53.732Z,0.0,2025-03-12T01:45:27.023Z,0.0,0.0,0.0
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.080455,2201571052,51,2412965012,40017251,0.08296,0.075581,0.00487403,6.44872,116357167.0,5.58011,27371773413.34449,30000000000.0,,0.965407,-91.69809,2021-11-24T15:53:54.855Z,0.0121196,561.30257,2019-02-08T00:00:00.000Z,0.0,2025-03-12T01:45:24.779Z,0.0,0.0,0.0
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,27.13,2172022496,53,2715163910,15044054,27.23,26.39,0.222316,0.82618,31603626.0,1.47652,79995999.05112354,100000000.0,100000000.0,50.43,-46.23508,2025-01-03T19:12:43.038Z,0.111255,24271.4394,2019-04-28T00:00:00.000Z,0.0,2025-03-12T01:45:10.992Z,92.39429509607893,0.0,9239.429509607893
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,10.61,2098997299,54,10494987692,771483828,10.86,10.01,0.503648,4.98331,41627628.0,2.02334,199999977.236,1000000000.0,1000000000.0,73.43,-85.62538,2025-01-19T11:50:34.806Z,4.29,146.0074,2025-01-18T03:40:29.231Z,0.0,2025-03-12T01:45:29.360Z,0.0,0.0,0.0
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.999007,2084107161,55,2084107161,7933468940,1.011,0.988316,-0.000416367146546692,-0.04166,-17966929.074848413,-0.85472,2087717049.930472,2087717049.930472,,1.15,-13.24324,2025-02-03T02:30:49.959Z,0.940377,6.21895,2024-12-05T22:30:51.394Z,0.0,2025-03-12T01:45:28.570Z,0.0,0.0,0.0
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.02418142,2060055285,56,2060055285,75422958,0.02450997,0.02237991,0.00180152,8.04971,110586396.0,5.67264,85985041177.0,85985041177.0,86712634466.0,0.280991,-91.41188,2021-04-19T01:08:21.675Z,0.00191713,1158.74698,2020-03-13T02:29:59.652Z,0.0,2025-03-12T01:45:19.024Z,3.3999993711090934,0.0,339.99993711090934
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.390258,2056633918,57,5836147091,341824128,0.422258,0.372062,-0.031999650264624924,-7.57822,-135772647.102602,-6.19286,5285937500.0,15000000000.0,,1.52,-74.34435,2024-04-11T13:15:15.057Z,0.195078,99.60034,2024-09-06T21:04:48.253Z,0.0,2025-03-12T01:45:27.236Z,0.0,0.0,0.0
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.071549,1848622489,58,1849832171,186420062,0.074601,0.05756,0.01394562,24.20991,336957664.0,22.2905,25826487850.01926,25843387919.2322,28704026601.0,0.207411,-65.49312,2024-08-01T00:40:47.164Z,0.00017105,41742.29573,2022-05-26T14:42:59.316Z,0.0,2025-03-12T01:45:25.532Z,0.0,0.0,0.0
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.216343,1845495761,59,2228208814,95503945,0.217722,0.200245,0.0159032,7.93415,84357471.0,4.78994,8593857060.241901,10376023854.8978,,1.29,-83.24298,2024-03-13T18:55:06.692Z,0.194083,11.16702,2025-03-11T01:10:51.470Z,0.0,2025-03-12T01:45:29.497Z,0.0,0.0,0.0
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,2.78,1764137476,60,5375173656,175237776,2.8,2.57,0.200429,7.78259,61559194.0,3.61565,643146167.0,1959610498.0,1959610498.0,236.84,-98.82761,2021-04-01T13:29:41.564Z,2.48,12.08185,2025-03-11T01:10:57.279Z,0.0,2025-03-12T01:45:27.914Z,0.0,0.0,0.0
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,3.31,1724665819,61,3545743462,129842421,3.3,2.77,0.532596,19.20654,218070923.0,14.47442,537233712.821426,1104499726.027065,,20.85,-84.25872,2024-02-10T14:30:02.495Z,2.08,57.53274,2023-10-31T15:14:31.951Z,0.0,2025-03-12T01:45:28.967Z,0.0,0.0,0.0
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,4.0,1717891587,62,3482544517,51252079,4.03,3.96,-0.01450848230731383,-0.36141,7002888.0,0.40931,429525337.0,870742437.0,1000000000.0,4.07,-1.80311,2025-03-04T14:41:31.962Z,0.398142,904.65392,2023-01-21T10:15:39.503Z,0.0,2025-03-12T01:45:29.550Z,0.0,0.0,0.0
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,3.92,1711344539,63,1711344539,158499084,3.98,3.53,0.381642,10.79098,133731761.0,8.47684,439907807.760177,439920440.15581,,44.45,-91.20277,2022-01-17T00:34:41.497Z,1.16,237.06855,2020-03-13T02:27:44.591Z,0.0,2025-03-12T01:45:25.497Z,38.18314527192966,0.0,3818.314527192966
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.19502,1655439602,64,1655448969,100547251,0.199008,0.183536,0.01148393,6.25703,93798927.0,6.00643,8485256162.495728,8485304172.527218,10000000000.0,3.56,-94.52989,2019-06-20T14:51:19.480Z,0.087513,122.59316,2023-09-11T19:42:08.247Z,0.0,2025-03-12T01:45:30.659Z,-0.91874158308626,0.0,-91.874158308626
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,2.99,1548690512,65,1592843897,214560762,3.05,2.69,0.297052,11.02254,131279806.0,9.26195,517716590.0562826,532476763.3362826,,13.53,-77.91587,2024-03-17T16:30:24.636Z,0.03665669,8054.08774,2020-06-16T13:22:25.900Z,0.0,2025-03-12T01:45:30.902Z,0.0,0.0,0.0
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.340465,1492157908,66,3376447956,256705933,0.346055,0.314602,0.02586321,8.22094,73820967.0,5.20476,4419312625.0,10000000000.0,10000000000.0,2.39,-85.7572,2024-01-12T12:29:59.231Z,0.301972,12.74009,2025-03-11T01:11:04.162Z,0.0,2025-03-12T01:45:27.234Z,0.0,0.0,0.0
arbitrum-bridged-usdt-arbitrum,usdt,Arbitrum Bridged USDT (Arbitrum),https://coin-images.coingecko.com/coins/images/35073/large/logo.png?1707292836,1.002,1442381704,67,1442381704,131807587,1.009,0.991692,-0.000181434343557996,-0.01811,20757609.0,1.46013,1440441618.398061,1440439618.496061,,1.16,-13.6411,2025-02-03T02:27:35.484Z,0.938168,6.71952,2024-08-05T01:11:45.298Z,0.0,2025-03-12T01:45:24.216Z,0.0,0.0,0.0
jupiter-exchange-solana,jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.521359,1387754136,68,3610022254,94170664,0.524314,0.470336,0.04958331,10.50994,86779655.0,6.67036,2690911111.1,6999978412.092618,10000000000.0,2.0,-74.03001,2024-01-31T15:02:47.304Z,0.454413,14.30203,2025-03-11T01:10:59.343Z,0.0,2025-03-12T01:45:26.796Z,0.0,0.0,0.0
optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,0.851461,1379632733,69,3656109146,201005932,0.877673,0.773364,0.076122,9.81791,78151044.0,6.00477,1620705846.0,4294967296.0,4294967296.0,4.84,-82.42725,2024-03-06T08:35:50.817Z,0.402159,111.67703,2022-06-18T20:54:52.178Z,0.0,2025-03-12T01:45:26.247Z,0.0,0.0,0.0
story-2,ip,Story,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,5.44,1365555626,70,5454793760,136812441,5.6,5.07,0.276168,5.34322,67110617.0,5.16854,250454218.15,1000460188.52,,7.31,-26.0022,2025-02-26T16:11:25.410Z,1.0,441.02626,2025-02-14T03:11:08.309Z,0.0,2025-03-12T01:45:09.822Z,0.0,0.0,0.0
sonic-3,s,Sonic (prev. FTM),https://coin-images.coingecko.com/coins/images/38108/large/200x200_Sonic_Logo.png?1734679256,0.431628,1358077510,71,1358077510,137925664,0.448642,0.418176,0.012255,2.92222,5808021.0,0.4295,3175000000.0,3175000000.0,,1.029,-58.21746,2025-01-04T21:35:44.705Z,0.359647,19.60045,2025-02-03T02:11:37.229Z,0.0,2025-03-12T01:45:18.011Z,0.0,0.0,0.0
kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,11.02,1351573432,72,1572127299,140439,11.2,10.78,0.00071143,0.00646,2923320.0,0.21676,122561753.8513356,142561753.8513356,,28.83,-61.73915,2021-12-01T15:09:35.541Z,0.342863,3117.19119,2019-02-07T00:00:00.000Z,0.0,2025-03-12T01:45:28.970Z,0.0,0.0,0.0
solv-btc,solvbtc,Solv Protocol SolvBTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,83201.0,1300875151,73,1300883395,5535629,83069.0,77751.0,5177.1,6.63528,79729904.0,6.52911,15757.50807531728,15762.10377897728,21000000.0,108929.0,-24.09414,2025-01-20T07:17:19.296Z,49058.0,68.54347,2024-08-05T06:28:45.311Z,0.0,2025-03-12T01:45:09.824Z,0.0,0.0,0.0
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.484283,1261117905,74,1314146092,239221506,0.49514,0.444707,0.03957628,8.89941,51366893.0,4.24607,2604959126.672,2714493896.672,2714493896.672,3.45,-86.03193,2024-03-28T17:21:18.050Z,0.00816959,5805.77715,2020-03-13T02:24:18.347Z,0.0,2025-03-12T01:45:28.730Z,4.585735083426481,0.0,458.5735083426481
movement,move,Movement,https://coin-images.coingecko.com/coins/images/39345/large/movement-testnet-token.png?1721878759,0.497072,1194398322,75,4976659675,164890280,0.528939,0.480275,-0.003441909370641483,-0.68768,1045850.0,0.08764,2400000000.0,10000000000.0,10000000000.0,1.45,-65.52816,2024-12-10T04:05:51.093Z,0.378282,32.1219,2025-03-04T16:40:46.804Z,0.0,2025-03-12T01:45:20.730Z,0.0,0.0,0.0
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,1921.9,1162733939,76,1162733939,51519655,1954.33,1811.89,110.01,6.07178,34673689.0,3.07374,604999.999959841,604999.999959841,,4098.26,-53.16429,2024-12-06T20:27:27.286Z,1790.63,7.19412,2025-03-11T01:17:39.749Z,0.0,2025-03-12T01:45:27.677Z,0.0,0.0,0.0
quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,77.31,1123357562,77,1128634192,38878822,77.09,68.15,9.16,13.44129,91242947.0,8.84039,14544176.164091088,14612493.0,14612493.0,427.42,-81.9799,2021-09-11T09:15:00.668Z,0.215773,35595.76682,2018-08-23T00:00:00.000Z,0.0,2025-03-12T01:45:31.180Z,16.283161788264355,0.0,1628.3161788264354
xdce-crowd-sale,xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.069458,1090265543,78,2638284529,38308381,0.070331,0.064566,0.00468583,7.23434,36947386.0,3.50771,15694232240.7,37977766416.45,,0.192754,-63.96316,2021-08-21T04:39:48.324Z,0.00039532,17471.29322,2019-07-22T00:00:00.000Z,0.0,2025-03-12T01:45:12.113Z,3.8018219609006993,0.0,380.18219609006997
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,1998.46,1089381604,79,1089381604,2063084,2029.4,1902.13,96.34,5.06463,31339130.0,2.96199,546097.6478105752,546097.6478105752,,4216.2,-52.74992,2024-12-06T20:31:16.142Z,1862.59,6.95618,2025-03-11T01:10:28.160Z,0.0,2025-03-12T01:45:25.771Z,0.0,0.0,0.0
nexo,nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1.04,1039455530,80,1039455530,15856770,1.045,0.947478,0.092024,9.71256,46518782.0,4.68497,1000000000.0,1000000000.0,1000000000.0,4.07,-74.46843,2021-05-12T14:37:47.535Z,0.04515276,2200.22885,2018-09-13T00:00:00.000Z,0.0,2025-03-12T01:45:21.620Z,9.39501978341968,0.0,939.501978341968
dexe,dexe,DeXe,https://coin-images.coingecko.com/coins/images/12713/large/DEXE_token_logo.png?1696512514,17.42,1004319521,81,1697286278,13980054,17.71,17.26,-0.22257266357593153,-1.26135,9495033.0,0.95444,57103774.56313077,96504599.33609451,,32.38,-46.16818,2021-03-08T13:29:57.935Z,0.671563,2495.62389,2020-11-06T19:31:40.144Z,0.0,2025-03-12T01:45:26.457Z,0.0,0.0,0.0
usual-usd,usd0,Usual USD,https://coin-images.coingecko.com/coins/images/38272/large/USD0LOGO.png?1716962811,0.997599,980639541,82,980639541,16454435,0.998055,0.997306,0.0002929,0.02937,-8537011.369286656,-0.86304,982896807.3589927,982896807.3589927,,1.33,-24.75158,2024-07-12T08:28:59.311Z,0.976415,2.16644,2025-01-20T17:07:15.786Z,0.0,2025-03-12T01:45:11.736Z,0.0,0.0,0.0
maker,mkr,Maker,https://coin-images.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1112.9,967455022,83,997247774,106460675,1173.37,1092.81,15.74,1.43492,17820044.0,1.87652,852068.6773188914,878313.8273095463,1005577.0,6292.31,-82.3247,2021-05-03T21:54:29.333Z,168.36,560.60896,2020-03-16T20:52:36.527Z,0.0,2025-03-12T01:45:29.070Z,0.0,0.0,0.0
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,2160.38,954846764,84,954674728,17048240,2199.53,2059.95,100.43,4.87549,21822659.0,2.33892,442623.5923279577,442543.8445416944,,4814.31,-55.19101,2021-12-01T08:03:50.749Z,887.26,143.13453,2022-06-18T20:55:45.957Z,0.0,2025-03-12T01:45:30.452Z,0.0,0.0,0.0
flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.01534063,935221317,85,1582044678,11594198,0.01571767,0.01401096,0.00128268,9.12423,70104771.0,8.10351,60963544653.43787,103127516074.4421,,0.150073,-89.69098,2023-01-10T03:14:05.921Z,0.00827405,86.98271,2023-10-19T03:35:41.663Z,0.0,2025-03-12T01:45:28.007Z,0.0,0.0,0.0
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,0.616894,934035049,86,934035049,38388059,0.627834,0.566415,0.050479,8.91194,45993612.0,5.17922,1516512217.19676,1516530202.76344,1818000000.0,3.86,-84.05618,2024-04-01T12:34:58.342Z,0.04559639,1251.2488,2020-03-13T02:29:26.415Z,0.0,2025-03-12T01:45:28.659Z,4.140779190590007,0.0,414.07791905900075
immutable-x,imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,0.522702,917476345,87,1037682795,41492345,0.533377,0.476121,0.04630703,9.7203,49226880.0,5.66967,1768317543.3898141,2000000000.0,2000000000.0,9.52,-94.51626,2021-11-26T01:03:01.536Z,0.378055,38.08802,2022-12-31T07:36:37.649Z,0.0,2025-03-12T01:45:31.460Z,0.0,0.0,0.0
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.193461,901047774,88,1934616799,94665439,0.197606,0.17881,0.01355006,7.53156,51066797.0,6.00799,4657499999.0,10000000000.0,,1.14,-83.02559,2024-03-16T02:30:23.904Z,0.095364,102.86578,2023-10-19T08:05:30.655Z,0.0,2025-03-12T01:45:19.429Z,0.0,0.0,0.0
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,9.27,890362698,89,911069296,155928563,9.54,8.49,0.739209,8.66431,29263274.0,3.39836,97727220.33,100000000.0,,52.62,-82.40839,2024-03-14T15:06:22.124Z,0.657401,1308.09415,2020-11-03T16:19:30.576Z,0.0,2025-03-12T01:45:25.699Z,0.0,0.0,0.0
worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,0.805246,875372261,90,7977396615,199881890,0.827229,0.738421,0.066825,9.04978,45197828.0,5.44438,1097315707.37486,10000000000.0,10000000000.0,11.74,-93.15804,2024-03-10T00:10:42.330Z,0.708589,13.36454,2025-03-11T01:11:28.418Z,0.0,2025-03-12T01:45:28.794Z,0.0,0.0,0.0
theta-token,theta,Theta Network,https://coin-images.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,0.867064,866388082,91,866388082,32717895,0.876438,0.79486,0.072204,9.08388,48869324.0,5.97776,1000000000.0,1000000000.0,1000000000.0,15.72,-94.50087,2021-04-16T13:15:11.190Z,0.04039979,2039.73219,2020-03-13T02:24:16.483Z,0.0,2025-03-12T01:45:11.459Z,4.7804277269180275,0.0,478.0427726918027
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.091592,864000405,92,976154301,49678668,0.092988,0.08329,0.00825029,9.89931,54554601.0,6.73975,9548531509.16547,10788004319.0,10788004319.0,2.84,-96.78018,2021-02-12T07:28:45.775Z,0.052051,75.77218,2022-11-22T10:05:03.503Z,0.0,2025-03-12T01:45:23.806Z,0.0,0.0,0.0
binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,130.84,848773038,93,848773038,5195513,132.74,122.48,8.36,6.82955,46975157.0,5.85873,6492280.848624357,6492280.848624357,,297.96,-56.10417,2025-01-19T11:30:53.744Z,118.29,10.56403,2025-03-11T01:11:46.882Z,0.0,2025-03-12T01:45:26.153Z,0.0,0.0,0.0
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),https://coin-images.coingecko.com/coins/images/35023/large/USDT.png?1707233644,1.001,845654459,94,845654459,19396899,1.007,0.990774,0.00098499,0.09854,228316.0,0.02701,845165818.01636,847508144.66976,,1.027,-2.56968,2024-04-14T06:51:56.926Z,0.945933,5.75785,2024-12-05T22:30:30.789Z,0.0,2025-03-12T01:45:28.153Z,0.0,0.0,0.0
lido-dao,ldo,Lido DAO,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,0.930606,829598299,95,924237754,199614402,0.970207,0.842555,0.088051,10.45051,24774710.0,3.07828,897602695.87191,1000000000.0,1000000000.0,7.3,-87.25923,2021-08-20T08:35:20.158Z,0.40615,129.08846,2022-06-18T20:55:12.035Z,0.0,2025-03-12T01:45:27.205Z,0.0,0.0,0.0
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,1.059e-05,820084598,97,941242051,103764722,1.077e-05,9.42e-06,1.17e-06,12.41216,66650122.0,8.84617,77419592329436.58,88857388672316.88,88857388672316.88,5.825e-05,-81.81823,2024-11-20T04:01:06.465Z,8.6142e-08,12194.64457,2022-12-29T22:48:46.755Z,0.0,2025-03-12T01:45:29.107Z,0.0,0.0,0.0
solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,https://coin-images.coingecko.com/coins/images/39384/large/unnamed.png?1721961640,81947.0,819732106,96,819732106,422275,82534.0,77100.0,4844.61,6.28333,41161107.0,5.28675,10005.18637774828,10005.18637774828,21000000.0,117077.0,-29.79049,2025-01-20T07:15:49.114Z,11402.13,620.90827,2024-09-10T17:58:43.974Z,0.0,2025-03-12T01:45:09.827Z,0.0,0.0,0.0
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,2038.48,766192488,98,766192488,12466806,2071.4,1950.36,88.12,4.51804,17105413.0,2.2835,376096.4114318937,376096.6142205596,,4729.53,-57.02197,2024-03-27T05:26:27.333Z,1896.19,7.19667,2025-03-11T00:57:41.551Z,0.0,2025-03-12T01:45:28.661Z,0.0,0.0,0.0
eos,eos,EOS,https://coin-images.coingecko.com/coins/images/738/large/CG_EOS_Icon.png?1731705232,0.489929,743014776,99,1028641075,103454547,0.498706,0.454362,0.03556707,7.82791,45242196.0,6.4838,1516885789.1746,2100000000.0,2100000000.0,22.71,-97.84587,2018-04-29T07:50:33.540Z,0.402746,21.47371,2024-11-04T21:55:59.771Z,0.0,2025-03-12T01:45:27.929Z,-0.5051220616865298,0.0,-50.51220616865298
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,2910.85,717428701,100,717428701,13843071,2912.6,2883.16,25.59,0.88685,6555406.0,0.92216,246524.33,246524.33,,2958.51,-1.65145,2025-02-24T22:27:43.675Z,1447.84,100.9646,2020-03-19T13:45:41.821Z,0.0,2025-03-12T01:45:12.650Z,0.0,0.0,0.0
